"","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)","Malaria incidence (per 1 000 population at risk)"
"Sri Lanka","0","0","0","0","0","0","0","0.03","0.15","0.11","0.14","0.04","0.13","0.36","0.83","2.38","9.45","15.29","48.63"
"Sudan","46.75","46.75","41.73","35.88","33.38","31.45","30.16","29.97","30.66","32.29","35.05","41.08","46.69","49.59","52.43","58.1","63.33","83.81","89.05"
"Suriname","0.34","0.47","0.91","0.98","4.91","9.02","6.93","9.75","23.33","30.8","35.47","23.06","44.07","123.78","114.9","152.38","180.23","227.35","163.33"
"Syrian Arab Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tajikistan","0","0","0","0","0","0","0.01","0.03","0.04","0.07","0.13","0.27","0.58","1.02","1.61","2.48","2.87","5.4","9.18"
"Thailand","0.36","0.95","1.03","1.34","2.92","2.58","2.53","1.94","2.55","2.81","2.45","2.64","2.43","2.4","2.16","3.05","3.66","5.27","6.58"
"Timor-Leste","0","0.03","0.11","0.12","0.51","1.56","7.26","31.27","99.74","102.07","135.16","115.19","126.77","120.77","181.26","51.9","84.79","118.01","122.55"
"Togo","267.31","278.2","324.86","364.31","384.68","385.39","349.7","313.4","308.88","326.88","379.9","434.49","460.07","470.38","466.23","451.14","440.31","439.86","442.02"
"Turkey","0","0","0","0","0","0","0","0","0","0.01","0.04","0.07","0.18","0.47","1.22","2.15","2.41","2.59","2.78"
"Turkmenistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01"
